date,user_id,location,tweet
2016-11-06,62050708,"Jacksonville, FL",6.1 million ballots cast in Sunshine State before Election Day.  http://bit.ly/2eAIuAR 
2016-11-06,62050708,"Jacksonville, FL",Election Day is Tuesday. Nearly half of the sunshine state took part in early voting.  http://bit.ly/2eAIuAR 
2016-11-06,62050708,"Jacksonville, FL",On This Week in Jacksonville with Kent Justice ... Battleground Jacksonville in Election 2016. Join us on Channel 4…  https://twitter.com/i/web/status/795226806634893312 …
2016-11-05,62050708,"Jacksonville, FL",U.S. intel concerned about Election Day hackers http://bit.ly/2eokTA4 
2016-11-04,18147955,"Jacksonville, FL",My voting shirt arrived in time for election day! #johnsonweld2016 #libertarian…  https://www.instagram.com/p/BMaQOn9jo-V/ 
2016-11-04,62050708,"Jacksonville, FL","With less than a week until the election, Jacksonville's daily newspaper endorses Donald J. Trump |…  https://twitter.com/i/web/status/794685641967669248 …"
2016-11-01,62050708,"Jacksonville, FL",ELECTION 2016: Eric Trump latest big name to campaign in Jacksonville (Kent Justice) - http://bit.ly/2ebdvba 
2016-11-01,62050708,"Jacksonville, FL",Gun sales spike amid election uncertainty (Chris Parenteau) - http://bit.ly/2eYAuYT 
2016-10-31,62050708,"Jacksonville, FL",ELECTION 2016: President Obama rally for Hillary Clinton to be held Thursday at University of North Florida. -…  https://twitter.com/i/web/status/793200029095854081 …
2016-10-31,62050708,"Jacksonville, FL",Story: President Barack Obama to campaign for Hilary Clinton at the UNF arena just days before Election Day…  https://twitter.com/i/web/status/793185878227181568 …
2016-10-29,2218576398,"Jacksonville, FL",My first presidential election <Emoji: Smiling face with halo><Emoji: Smiling face with smiling eyes> #imwithher #hillaryclinton…  https://www.instagram.com/p/BMJ6mfVDl3vrOPhDdd2Bq2HTRyKfOWyeoZVmbE0/ …
2016-10-28,62050708,"Jacksonville, FL","THIS JUST IN: President Obama is scheduled to visit Jacksonville next Thursday, just days ahead of the election.…  http://toplocalnow.com/us/jacksonville "
2016-10-27,62050708,"Jacksonville, FL",More than 2.1 million Floridians have voted in election  http://fw.to/kqyE89K?utm_medium=social&utm_source=twitter_jaxdotcom …
2016-10-26,848571,"Jacksonville&PonteVedraBeach, Florida",Early voting is the way to go. #vote #election2016 #election #getoutandvote @ Ponte Vedra Beach…  https://www.instagram.com/p/BMCr-k5AbNs/ 
2016-10-25,937522838,"JacksonvilleBeach, FL",Flipped the <Emoji: Flushed face>#coin #help #voted #early #election #2016 #yikes #gladthatsover #who #godhelpus…  https://www.instagram.com/p/BL_HKB9jhz3/ 
2016-10-22,62050708,"Jacksonville, FL",Donald Trump outlines his first 100 day plan if he were to win the election.  http://bit.ly/2dK2px0 
2016-10-22,62050708,"Jacksonville, FL",The politicians are coming. With just over 2 weeks until the election here's a look at events in our area.  http://bit.ly/2f2W3uf 
2016-10-22,601152013,Montgomery,#BlackLivesMatters #votetransperency hunter_island wake up #USA there is no election unless…  https://www.instagram.com/p/BL1VFGiA9R_/ 
2016-10-21,601152013,Montgomery,#BlackLivesMatters #votetransperency this election #PenItIn @ Starbucks  https://www.instagram.com/p/BL1VFGiA9R_/ 
2016-10-20,62050708,"Jacksonville, FL",Donald Trump says he will `totally accept' the results of the presidential election `if I win' @FCN2go  http://toplocalnow.com/us/jacksonville 
2016-10-20,62050708,"Jacksonville, FL","Donald Trump says he will ""totally accept"" the results of the presidential election ""if I win."" @wjxt4  http://toplocalnow.com/us/jacksonville "
2016-10-19,62050708,"Jacksonville, FL",Trump debuts 6 new TV ads leading up to Election Day.-  http://bit.ly/2dPBw8j 
2016-10-18,45903511,"OakHaven, FL",This horrid Presidential election has 52% of voters stressed out http://arstechnica.com/science/2016/10/this-horrid-presidential-election-has-52-of-voters-stressed-out/ …
2016-10-18,62050708,"Jacksonville, FL",It is the LAST DAY to register to vote in Florida!!! Make sure your voice counts this (and every) election!…  http://toplocalnow.com/us/jacksonville 
2016-10-16,62050708,"Jacksonville, FL",Trump thinks 'SNL' is rigging the election and should be canceled.  http://bit.ly/2eaO23M 
2016-10-15,62050708,"Jacksonville, FL",Just more than three weeks until Election Day in the United States. @wjxt4  http://toplocalnow.com/us/jacksonville 
2016-09-30,900690193,,"""Who are you voting for this Election?"" @ Jacksonville Zoo and Gardens  https://www.instagram.com/p/BK_kwekD3FGPA0-gMkjdiIozkwdv0abFHZR7Cs0/ …"
2016-09-07,62050708,"Jacksonville, FL","Ronnie Simmons says he's ""a little disappointed"" by the election results First Coast News @schindy  http://toplocalnow.com/us/jacksonville "
2016-08-31,57095880,"Logansport, IN","After being declared the winner in the primary election for State Attorney, Melissa Nelson gives…  https://www.instagram.com/p/BJyMnx8gOmx/ "
2016-08-31,57095880,"Logansport, IN","The new face of the election process....Rick Morales, Greg Anderson, and Rory Diamond check the…  https://www.instagram.com/p/BJyKq5xg4-f/ "
2016-08-31,57095880,"Logansport, IN",A supporter records Melissa Nelson's speech after she won the primary election for State…  https://www.instagram.com/p/BJxTatwARsd/ 
2016-08-30,57095880,"Logansport, IN",Election night coverage.....as the polls close. @ Hyatt Regency Jacksonville Riverfront  https://www.instagram.com/p/BJwHGr0Aqug/ 
2016-08-30,62050708,"Jacksonville, FL",Polls have now closed in Northeast Florida.Go here for election results: FLVotes  http://bit.ly/2bTWGmT 
2016-08-30,402797279,"Atlanta, GA",Follow my IG story for an inside look at how we cover Election Day results. Official start:…  https://www.instagram.com/p/BJv9UkxhHa1/ 
2016-08-25,192289004,"Jacksonville, FL",Yep...it must be election season!   Cause nothing else is in the…  https://www.instagram.com/p/BJjXnuHhJnkgI81MVDQugLsbodQpKnOmvML8II0/ …
